Days,Animals,Grasses,UnoccupiedFields,PopularGenome,AverageEnergy,AverageLifespanDeadAnimals
0,80,70,2500,[3, 5, 0, 2, 1, 6],80.0,0.0
1,82,80,2500,[3, 5, 0, 2, 1, 6],77.0,0.0
2,82,86,2504,[3, 5, 0, 2, 1, 6],78.0,0.0
3,83,93,2507,[3, 5, 0, 2, 1, 6],78.0,0.0
4,85,100,2510,[3, 5, 0, 2, 1, 6],77.0,0.0
5,89,107,2513,[3, 5, 0, 2, 1, 6],74.0,0.0
6,92,112,2518,[3, 5, 0, 2, 1, 6],73.0,0.0
7,92,119,2521,[3, 5, 0, 2, 1, 6],74.0,0.0
8,94,124,2526,[3, 5, 0, 2, 1, 6],74.0,0.0
9,96,131,2529,[3, 5, 0, 2, 1, 6],73.0,0.0
10,97,138,2532,[3, 5, 0, 2, 1, 6],73.0,0.0
11,98,146,2534,[3, 5, 0, 2, 1, 6],72.0,0.0
12,99,153,2537,[3, 5, 0, 2, 1, 6],72.0,0.0
13,102,160,2540,[3, 5, 0, 2, 1, 6],70.0,0.0
14,103,163,2547,[3, 5, 0, 2, 1, 6],72.0,0.0
15,104,168,2552,[3, 5, 0, 2, 1, 6],73.0,0.0
16,104,175,2555,[3, 5, 0, 2, 1, 6],73.0,0.0
17,105,177,2563,[3, 5, 0, 2, 1, 6],75.0,0.0
18,106,184,2566,[3, 5, 0, 2, 1, 6],75.0,0.0
19,108,189,2571,[3, 5, 0, 2, 1, 6],75.0,0.0
20,109,195,2575,[3, 5, 0, 2, 1, 6],75.0,0.0
21,109,201,2579,[3, 5, 0, 2, 1, 6],76.0,0.0
22,110,204,2586,[3, 5, 0, 2, 1, 6],77.0,0.0
23,112,204,2596,[3, 5, 0, 2, 1, 6],79.0,0.0
24,117,208,2602,[3, 5, 0, 2, 1, 6],77.0,0.0
25,117,215,2605,[3, 5, 0, 2, 1, 6],78.0,0.0
26,117,216,2614,[3, 5, 0, 2, 1, 6],81.0,24.0
27,117,219,2621,[3, 5, 0, 2, 1, 6],83.0,24.0
28,119,221,2629,[3, 5, 0, 2, 1, 6],84.0,24.0
29,122,229,2631,[3, 5, 0, 2, 1, 6],81.0,24.0
30,122,232,2638,[3, 5, 0, 2, 1, 6],83.0,24.0
31,117,233,2647,[3, 5, 0, 2, 1, 6],90.0,28.0
32,120,233,2657,[3, 5, 0, 2, 1, 6],91.0,28.0
33,122,237,2663,[3, 5, 0, 2, 1, 6],90.0,28.0
34,126,243,2667,[3, 5, 0, 2, 1, 6],88.0,27.0
35,131,248,2672,[3, 5, 0, 2, 1, 6],86.0,27.0
36,136,247,2683,[3, 5, 0, 2, 1, 6],86.0,27.0
37,137,253,2687,[3, 5, 0, 2, 1, 6],85.0,27.0
38,139,258,2692,[3, 5, 0, 2, 1, 6],85.0,26.0
39,143,259,2701,[3, 5, 0, 2, 1, 6],85.0,26.0
40,146,264,2706,[3, 5, 0, 2, 1, 6],84.0,26.0
41,147,265,2715,[3, 5, 0, 2, 1, 6],85.0,26.0
42,149,268,2722,[3, 5, 0, 2, 1, 6],85.0,26.0
43,153,269,2731,[3, 5, 0, 2, 1, 6],85.0,26.0
44,156,270,2740,[3, 5, 0, 2, 1, 6],85.0,26.0
45,159,274,2746,[3, 5, 0, 2, 1, 6],85.0,26.0
46,160,276,2754,[3, 5, 0, 2, 1, 6],86.0,26.0
47,164,277,2763,[3, 5, 0, 2, 1, 6],85.0,26.0
48,170,276,2774,[3, 5, 0, 2, 1, 6],84.0,26.0
49,171,279,2781,[3, 5, 0, 2, 1, 6],85.0,26.0
50,173,275,2795,[3, 5, 0, 2, 1, 6],87.0,26.0
51,174,274,2806,[3, 5, 0, 2, 1, 6],89.0,26.0
52,175,271,2819,[3, 5, 0, 2, 1, 6],91.0,26.0
53,175,269,2831,[3, 5, 0, 2, 1, 6],93.0,28.0
54,176,271,2839,[3, 5, 0, 2, 1, 6],94.0,28.0
55,178,268,2852,[3, 5, 0, 2, 1, 6],96.0,29.0
56,173,270,2860,[1, 0, 7, 4, 1, 2],100.0,39.0
57,175,270,2870,[1, 0, 7, 4, 1, 2],100.0,39.0
58,177,263,2887,[1, 0, 7, 4, 1, 2],103.0,38.0
59,178,267,2893,[1, 0, 7, 4, 1, 2],103.0,38.0
60,181,267,2903,[2, 1, 6, 1, 2, 6],103.0,37.0
61,184,268,2912,[2, 1, 6, 1, 2, 6],103.0,37.0
62,188,265,2925,[2, 1, 6, 1, 2, 6],103.0,37.0
63,194,265,2935,[2, 1, 6, 1, 2, 6],102.0,37.0
64,195,265,2945,[2, 1, 6, 1, 2, 6],103.0,37.0
65,200,258,2962,[2, 1, 6, 1, 2, 6],103.0,36.0
66,208,261,2969,[2, 1, 6, 1, 2, 6],100.0,36.0
67,213,260,2980,[2, 1, 6, 1, 2, 6],99.0,36.0
68,219,259,2991,[2, 1, 6, 1, 2, 6],98.0,36.0
69,220,263,2997,[2, 1, 6, 1, 2, 6],98.0,36.0
70,225,262,3008,[2, 1, 6, 1, 2, 6],97.0,36.0
71,235,265,3015,[2, 1, 6, 1, 2, 6],94.0,36.0
72,240,262,3028,[2, 1, 6, 1, 2, 6],93.0,36.0
73,244,260,3040,[2, 1, 6, 1, 2, 6],93.0,35.0
74,248,255,3055,[2, 1, 6, 1, 2, 6],94.0,35.0
75,258,253,3067,[2, 1, 6, 1, 2, 6],91.0,35.0
76,262,247,3083,[2, 1, 6, 1, 2, 6],92.0,35.0
77,269,241,3099,[2, 1, 6, 1, 2, 6],92.0,34.0
